gbifID;publisher;datasetID;datasetName;decimalLatitude;decimalLongitude;scientificName;publisher;coordinatePrecision;coordinateUncertaintyInMeters;datasetID;datasetName;decimalLatitude;decimalLongitude;geodeticDatum;scientificName
187891331;;;;38.58625;-0.07254;Anthyllis cytisoides L.;;;7071;;;38.58624649;-0.072539;;Anthyllis cytisoides
187891364;;;;37.97316;-0.89385;Anthyllis cytisoides L.;;;7071;;;37.9731636;-0.89385199;;Anthyllis cytisoides
187891397;;;;39.5871;-0.49653;Anthyllis cytisoides L.;;;7071;;;39.58710098;-0.496526;;Anthyllis cytisoides
187891427;;;;39.67454;-0.3768;Anthyllis cytisoides L.;;;7071;;;39.67454147;-0.376798;;Anthyllis cytisoides
187891430;;;;38.51353;-0.8782;Anthyllis cytisoides L.;;;7071;;;38.51353454;-0.878196;;Anthyllis cytisoides
187891463;;;;38.42347;-0.88083;Anthyllis cytisoides L.;;;7071;;;38.42347335;-0.88083499;;Anthyllis cytisoides
187891496;;;;39.85714;-0.48674;Anthyllis cytisoides L.;;;7071;;;39.85713958;-0.48673599;;Anthyllis cytisoides
187891526;;;;37.97107;-0.78008;Anthyllis cytisoides L.;;;7071;;;37.97107315;-0.780083;;Anthyllis cytisoides
187891559;;;;38.06323;-0.89127;Anthyllis cytisoides L.;;;7071;;;38.0632286;-0.89127099;;Anthyllis cytisoides
187891562;;;;38.06323;-0.89127;Anthyllis cytisoides L.;;;7071;;;38.0632286;-0.89127099;;Anthyllis cytisoides
187891595;;;;38.42347;-0.88083;Anthyllis cytisoides L.;;;7071;;;38.42347335;-0.88083499;;Anthyllis cytisoides
187891625;;;;38.76907;0.18015;Anthyllis cytisoides L.;;;7071;;;38.76907348;0.180151;;Anthyllis cytisoides
187891658;;;;37.88101;-0.78279;Anthyllis cytisoides L.;;;7071;;;37.88101196;-0.78279;;Anthyllis cytisoides
187891661;;;;37.88101;-0.78279;Anthyllis cytisoides L.;;;7071;;;37.88101196;-0.78279;;Anthyllis cytisoides
187891694;;;;39.32988;-1.20175;Anthyllis cytisoides L.;;;7071;;;39.32987594;-1.20175004;;Anthyllis cytisoides
187891724;;;;39.23797;-1.08824;Anthyllis cytisoides L.;;;7071;;;39.23796844;-1.088243;;Anthyllis cytisoides
187891757;;;;39.5941;-0.8456;Anthyllis cytisoides L.;;;7071;;;39.59410095;-0.84559702;;Anthyllis cytisoides
187891760;;;;39.5941;-0.8456;Anthyllis cytisoides L.;;;7071;;;39.59410095;-0.84559702;;Anthyllis cytisoides
187891793;;;;39.59188;-0.72923;Anthyllis cytisoides L.;;;7071;;;39.59188461;-0.72922599;;Anthyllis cytisoides
187891823;;;;39.59188;-0.72923;Anthyllis cytisoides L.;;;7071;;;39.59188461;-0.72922599;;Anthyllis cytisoides
187891856;;;;39.59188;-0.72923;Anthyllis cytisoides L.;;;7071;;;39.59188461;-0.72922599;;Anthyllis cytisoides
187891889;;;;39.68192;-0.72628;Anthyllis cytisoides L.;;;7071;;;39.68191528;-0.72627902;;Anthyllis cytisoides
187891892;;;;39.59188;-0.72923;Anthyllis cytisoides L.;;;7071;;;39.59188461;-0.72922599;;Anthyllis cytisoides
187891919;;;;37.97316;-0.89385;Anthyllis cytisoides L.;;;7071;;;37.9731636;-0.89385199;;Anthyllis cytisoides
187892024;;;;39.67712;-0.49328;Anthyllis cytisoides L.;;;7071;;;39.67711639;-0.49327701;;Anthyllis cytisoides
187892219;;;;40.11897;-0.12513;Anthyllis cytisoides L.;;;7071;;;40.11896514;-0.125134;;Anthyllis cytisoides
187892255;;;;39.49953;-0.61595;Anthyllis cytisoides L.;;;7071;;;39.49952697;-0.61595302;;Anthyllis cytisoides
187892291;;;;40.11897;-0.12513;Anthyllis cytisoides L.;;;7071;;;40.11896514;-0.125134;;Anthyllis cytisoides
187892318;;;;40.12181;-0.24234;Anthyllis cytisoides L.;;;7071;;;40.12181472;-0.242344;;Anthyllis cytisoides
187892420;;;;40.03455;-0.36305;Anthyllis cytisoides L.;;;7071;;;40.03455352;-0.363047;;Anthyllis cytisoides
187892453;;;;39.76713;-0.49001;Anthyllis cytisoides L.;;;7071;;;39.76712799;-0.49001398;;Anthyllis cytisoides
199458579;;;;0;0;Anthyllis cytisoides L.;;;0;;;0;0;;Anthyllis cytisoides L.
199458612;;;;0;0;Anthyllis cytisoides L.;;;0;;;0;0;;Anthyllis cytisoides L.
199458744;;;;0;0;Anthyllis cytisoides L.;;;0;;;0;0;;Anthyllis cytisoides L.
