"Species","lon","lat"
"Anthyllis cytisoides",2.6388,41.8206
"Anthyllis cytisoides",-2.864,37.6495
"Anthyllis cytisoides",-2.4017,37.3416
"Anthyllis cytisoides",-1.7584,37.3275
"Anthyllis cytisoides",-2.0182,39.8442
"Anthyllis cytisoides",-4.66719,36.60004
"Anthyllis cytisoides",-0.56,39.36
"Anthyllis cytisoides",-1.86,37.49
"Anthyllis cytisoides",-0.71,38.19
"Anthyllis cytisoides",-2.55,36.86
"Anthyllis cytisoides",-0.36,38.45
"Anthyllis cytisoides",-0.24,38.54
"Anthyllis cytisoides",0.39,40.8
"Anthyllis cytisoides",-0.71,38.37
"Anthyllis cytisoides",-2.66,37.58
"Anthyllis cytisoides",-3.11,37.67
"Anthyllis cytisoides",-1.74,38.3
"Anthyllis cytisoides",0.29,40.34
"Anthyllis cytisoides",2.88,39.47
"Anthyllis cytisoides",-1.86,37.85
"Anthyllis cytisoides",-1.85,38.66
"Anthyllis cytisoides",-1.06,38.02
"Anthyllis cytisoides",-0.59,38.46
"Anthyllis cytisoides",-2.32,37.04
"Anthyllis cytisoides",-0.475,39.682
"Anthyllis cytisoides",-0.7,39.73
"Anthyllis cytisoides",-3,37.05
"Anthyllis cytisoides",-0.74664,39.05167
"Anthyllis cytisoides",-5.179,36.742
"Anthyllis cytisoides",-2.41667,37.0333
"Anthyllis cytisoides",-1.959,37.894
"Anthyllis cytisoides",-4.31403,37.38396
"Anthyllis cytisoides",-3.49711,37.15303
"Anthyllis cytisoides",-2.24162,37.35492
"Anthyllis cytisoides",-3.36146,37.74397
"Anthyllis cytisoides",-5.23915,37.84139
"Anthyllis cytisoides",-2.63861,36.83512
"Anthyllis cytisoides",-2.23606,37.19781
"Anthyllis cytisoides",-3.0147,36.76258
"Anthyllis cytisoides",-3.27112,36.90881
"Anthyllis cytisoides",-2.74727,37.16017
"Anthyllis cytisoides",-3.24277,37.2579
"Anthyllis cytisoides",-2.96825,37.57774
"Anthyllis cytisoides",-2.86849,37.59087
"Anthyllis cytisoides",-2.07196,37.85064
"Anthyllis cytisoides",-1.70674,37.39569
"Anthyllis cytisoides",-2.06373,37.22446
"Anthyllis cytisoides",-2.62536,37.07437
"Anthyllis cytisoides",-2.02553,37.21712
"Anthyllis cytisoides",-2.64489,36.86519
"Anthyllis cytisoides",-1.94621,37.51971
"Anthyllis cytisoides",-2.36501,37.32268
"Anthyllis cytisoides",-2.87742,37.55862
"Anthyllis cytisoides",-0.58,38.45
"Anthyllis cytisoides",-2.014,38.4836
"Anthyllis cytisoides",-1.8767,38.4643
"Anthyllis cytisoides",0.2466,42.2924
"Anthyllis cytisoides",-3.0454,37.7036
"Anthyllis cytisoides",-4.8509,36.8599
"Anthyllis cytisoides",-0.9355,38.5146
"Anthyllis cytisoides",-0.5211,38.5606
"Anthyllis cytisoides",-1.7991,38.3103
"Anthyllis cytisoides",-1.7192,38.3005
"Anthyllis cytisoides",-1.7544,38.2468
"Anthyllis cytisoides",-1.5497,38.1994
"Anthyllis cytisoides",-1.2401,38.2492
"Anthyllis cytisoides",-1.4465,38.2161
"Anthyllis cytisoides",-1.1832,38.2393
"Anthyllis cytisoides",-1.1298,38.0943
"Anthyllis cytisoides",-1.2839,37.8443
"Anthyllis cytisoides",-0.845,38.8553
"Anthyllis cytisoides",-0.2237,40.0043
"Anthyllis cytisoides",2.4296,39.5586
"Anthyllis cytisoides",1.9026,41.924
"Anthyllis cytisoides",2.063,41.6732
"Anthyllis cytisoides",0.9621,41.1546
"Anthyllis cytisoides",0.9281,41.0999
"Anthyllis cytisoides",-2.0907,37.8533
"Anthyllis cytisoides",-2.0708,37.6278
"Anthyllis cytisoides",2.5907,41.8024
"Anthyllis cytisoides",-2.8072,37.6854
"Anthyllis cytisoides",-0.93,38.65
"Anthyllis cytisoides",-3.68,37.67
"Anthyllis cytisoides",-1.63,37.66
"Anthyllis cytisoides",-3.56,36.77
"Anthyllis cytisoides",-0.83,37.92
"Anthyllis cytisoides",-0.95,37.92
"Anthyllis cytisoides",-2.09,37.13
"Anthyllis cytisoides",-2.21,37.13
"Anthyllis cytisoides",-4.841,36.685
"Anthyllis cytisoides",-2.30417,36.89139
"Anthyllis cytisoides",-2.17482,37.02927
"Anthyllis cytisoides",-2.0036,37.26391
"Anthyllis cytisoides",-1.97316,36.9819
"Anthyllis cytisoides",-6.04596,36.42507
"Anthyllis cytisoides",-2.56721,36.98145
"Anthyllis cytisoides",-4.38706,36.83007
"Anthyllis cytisoides",-2.51338,36.96371
"Anthyllis cytisoides",-2.17268,37.34087
"Anthyllis cytisoides",-2.25703,37.40493
"Anthyllis cytisoides",-2.12763,37.57443
"Anthyllis cytisoides",-3.08587,36.91343
"Anthyllis cytisoides",-2.41498,37.00116
"Anthyllis cytisoides",-3.95215,37.14348
"Anthyllis cytisoides",-2.82668,37.61987
"Anthyllis cytisoides",-2.07527,37.12168
"Anthyllis cytisoides",-2.11814,37.11704
"Anthyllis cytisoides",-2.41492,37.16383
"Anthyllis cytisoides",-2.52992,37.08516
"Anthyllis cytisoides",-2.59483,36.94943
"Anthyllis cytisoides",-1.83336,37.37808
"Anthyllis cytisoides",-2.99783,36.88012
"Anthyllis cytisoides",-2.41883,37.15017
"Anthyllis cytisoides",-2.002,37.09356
"Anthyllis cytisoides",-2.89949,37.58607
"Anthyllis cytisoides",-1.046,37.594
"Anthyllis cytisoides",-0.1,40.1
"Anthyllis cytisoides",2.91,39.53
"Anthyllis cytisoides",-0.46,38.47
"Anthyllis cytisoides",-1.1,52.98
"Anthyllis cytisoides",-3.82,34.65
"Anthyllis cytisoides",-2.7842,37.8116
"Anthyllis cytisoides",-4.2614,37.1651
"Anthyllis cytisoides",-3.493,36.7742
"Anthyllis cytisoides",-1.8758,38.5274
"Anthyllis cytisoides",-2.3448,37.3953
"Anthyllis cytisoides",-2.2666,37.3048
"Anthyllis cytisoides",-2.6741,36.9911
"Anthyllis cytisoides",0.9743,41.1458
"Anthyllis cytisoides",-0.7415,40.2858
"Anthyllis cytisoides",-0.2857,39.9157
"Anthyllis cytisoides",-0.7003,39.7625
"Anthyllis cytisoides",-1.0764,39.2468
